t,k,v,trials,rows,time
2,10,2,0,10.88,0.000483771
2,10,2,5,9.44,0.000781874
2,10,2,10,9,0.001225
2,10,2,15,9.02,0.00164851
2,10,2,20,8.84,0.002008956
2,10,2,100,8.3,0.009126327
2,10,2,500,8.7,0.033866996
2,10,2,dynamic,8.64,0.034238953
2,11,2,0,11.54,0.000467287
2,11,2,5,9.78,0.001053089
2,11,2,10,9.26,0.001560146
2,11,2,15,9.32,0.002025998
2,11,2,20,9.12,0.002665701
2,11,2,100,8.9,0.009692971
2,11,2,500,9.2,0.042608735
2,11,2,dynamic,9,0.042659428
2,12,2,0,11.86,0.000576311
2,12,2,5,10.26,0.001197904
2,12,2,10,9.82,0.001851426
2,12,2,15,9.62,0.002890753
2,12,2,20,9.36,0.003186913
2,12,2,100,9,0.012165184
2,12,2,500,8.9,0.048580354
2,12,2,dynamic,9.1,0.050930334
2,15,2,0,12.85,0.001396807
2,15,2,5,11.15,0.002670847
2,15,2,10,10.7,0.003844463
2,15,2,15,10.4,0.005031123
2,15,2,20,10.3,0.005518451
2,15,2,100,9.2,0.023868225
2,15,2,500,9.8,0.089735603
2,15,2,dynamic,9.64,0.090301196
2,20,2,0,14.85,0.03003467
2,20,2,5,12.85,0.028103379
2,20,2,10,11.6,0.032060216
2,20,2,15,11.95,0.031872544
2,20,2,20,11.25,0.034139
2,20,2,100,10.6,0.057141633
2,20,2,500,10.8,0.170678383
2,20,2,dynamic,10.32,0.177213555
3,10,2,0,27.14,0.001000767
3,10,2,5,23.48,0.002163134
3,10,2,10,21.78,0.003550983
3,10,2,15,21.46,0.004845961
3,10,2,20,20.72,0.006312274
3,10,2,100,19.125,0.026192308
3,10,2,500,17.375,0.110748821
3,10,2,dynamic,17.44,0.109425523
4,10,2,0,59.24,0.002009529
4,10,2,5,51.64,0.004524618
4,10,2,10,48.82,0.007216241
4,10,2,15,47.4,0.010147791
4,10,2,20,46.26,0.012909146
4,10,2,100,41,0.05535391
4,10,2,500,39.25,0.239071637
4,10,2,dynamic,38.98,0.243561254
5,10,2,0,120.95,0.002811366
5,10,2,5,105.05,0.006833058
5,10,2,10,99.7,0.010198481
5,10,2,15,96.95,0.014742818
5,10,2,20,95.55,0.018421729
5,10,2,100,89,0.081606505
5,10,2,500,84.33333333,0.352943905
5,10,2,dynamic,84.2,0.360911725
8,10,2,0,628.95,0.000650374
8,10,2,5,548.9,0.001618055
8,10,2,10,532.25,0.002388644
8,10,2,15,523.3,0.003354475
8,10,2,20,518.1,0.004375539
8,10,2,100,507,0.017952281
8,10,2,500,506.3333333,0.070079895
8,10,2,dynamic,503.12,0.071619813
2,10,3,0,27.76,0.001382408
2,10,3,5,24.26,0.001768885
2,10,3,10,23.06,0.002121852
2,10,3,15,22.24,0.002475661
2,10,3,20,21.96,0.002831443
2,10,3,100,20.3,0.008888929
2,10,3,500,18.4,0.039533442
2,10,3,dynamic,18.66666667,0.035789581
2,10,4,0,51.22,0.018508534
2,10,4,5,44.98,0.018048281
2,10,4,10,42.74,0.017800918
2,10,4,15,41.36,0.0186335
2,10,4,20,40.24,0.020351828
2,10,4,100,35.9,0.024704743
2,10,4,500,33.4,0.055104991
2,10,4,dynamic,33.56666667,0.056925198
